corp_code,corp_name,year,A_SIZE,LEV,TQ,stock_code,FOR,MSE,ROA,ADV,SGR,R&D,ESG,E,S,G
365387,AJ네트웍스,2019,28.22061460641888,80.73810348005077,93.64292154443532,95570,7.95,50.05,2.3362524478455096,40.874165728942145,1504.195815480326,,B,D,B,B
125080,AK홀딩스,2019,29.096118467763823,66.9604759953281,77.55126537832936,6840,12.75,64.89,1.3257463605977502,169.5634360250769,130.30604640108652,51.34476401392478,B+,C,B+,B+
219097,BGF,2019,28.136260039253177,7.791008810106891,40.13202640057724,27410,9.0,69.98,1.0568050841101555,,893.9778775895386,,B+,B,A,B+
1263022,BGF리테일,2019,28.40685868045136,71.34079182905693,206.19659039812487,282330,34.12,55.42,6.968159364763195,3.5267002035118566,294.6848220511729,,A,B+,B+,A
858364,BNK금융지주,2019,,,,138930,51.7,9.19,,,,,A+,B+,A+,A+
122579,BYC,2019,27.2655689832856,37.4062275983155,58.695332364629174,1460,2.18,67.84,4.004847449626627,,-1378.474220104918,19.540139241457922,B,D,B,B+
148540,CJ,2019,31.329389522026293,63.80735251940079,70.78705227746339,1040,17.94,43.25,0.8019610537285738,175.36573922170265,1441.6585059404129,139.01058160654102,A,B,A,A
303873,CJ CGV,2019,29.140428033364177,86.71300463113238,102.87383111984624,79160,9.17,39.04,-5.284546224377695,90.8268483087395,977.320652059322,,A,B,A,A
113410,CJ대한통운,2019,29.84039559560401,59.87663218131907,98.6901016333904,120,19.64,40.16,0.5586143272917304,16.43773638381242,1296.6047486398736,,A,A,B,A
129013,CJ씨푸드,2019,25.57015904156217,49.46571124713079,125.50645515481705,11150,3.61,46.26,1.435447005225948,,-101.79849859166225,,B,C,B+,B+
635134,CJ제일제당,2019,30.899853371317874,63.92217548890439,78.38599018800299,97950,20.06,41.82,0.7268786399377913,47.05995948322166,1972.356976447635,4.9463517055025035,A,A,A+,A
149026,CS홀딩스,2019,26.47358677700958,8.95308926856528,30.44180093943908,590,2.4,73.37,5.2829590681647085,1.2512145328576023,1013.5093855409624,,C,D,C,B
163345,DB,2019,26.618104197099893,41.901009450821505,90.6492120255872,12030,2.45,43.78,1.2128285926017037,295.8517205568349,58.74664775263637,125.80296186970222,B,D,B,B
159102,DB손해보험,2019,,,,5830,45.8,23.23,,,,,B+,A,A,B+
115694,DB증권,2019,,,,16610,8.42,39.59,,,,,B,D,A,B
160843,DB하이텍,2019,27.716179769792884,40.79743201757219,153.33416604052923,990,39.9,19.77,9.609513416258787,,2063.9712030195506,684.8510685497386,B+,B+,A,B+
108746,DKME,2019,26.10325600435004,54.94451145741874,121.82967579883051,15590,0.65,43.51,1.4659341038028253,,7742.807781368303,,C,B,C,C
109693,DL,2019,30.22964507920112,49.895169315158746,73.3191000608184,210,48.6,23.12,5.282973733880164,13.341128607989546,-1169.2913837632013,,B+,A,B+,B+
116949,DN오토모티브,2019,27.53862749789276,31.32944614862197,63.50112364189886,7340,6.34,50.27,7.49003721848701,1.5695773737528174,233.91374048350747,90.97442973576602,B,B,C,B
118266,DRB동일,2019,27.337024383269945,38.07397424759805,52.140090471962644,4840,1.92,69.68,0.4675328880249096,10.486202629121529,28.667108993466833,163.78351970078586,B,B,B,B
110608,DSR,2019,26.20561332816717,35.38711211971101,65.93487458101865,155660,1.3,70.75,3.6542484633334564,,12.784729645890222,18.33638457084404,C,B,B,C
151298,DSR제강,2019,26.02971764741453,29.64508623717962,62.13968277261621,69730,3.34,55.59,3.3511392776747013,7.287737939968819,336.03345629411103,42.77462796595207,C,C,B,C
117726,DYP,2019,26.58203822616529,69.11306064905553,87.21390196101324,92780,2.04,55.79,2.8562885184589923,0.44663232834495836,979.4151733857113,91.12738832669544,B,B,B,B+
165583,E1,2019,28.91055930264271,66.52862921720264,75.74531692911829,17940,4.57,45.33,-1.457657876885043,43.63686106086051,-47.36212372983442,,B,C,A,B+
126487,F&F 홀딩스,2019,27.25186267083369,29.32412367232408,281.3268063032268,7700,13.47,58.82,16.063312272787144,232.52078242303443,3620.6749886911603,,D,D,C,C
557508,GKL,2019,27.53608445159823,35.65507735803224,167.94586143876458,114090,7.66,51.0,7.960630238015163,118.38732195826644,216.7895141199068,,B+,C,A,A
500254,GS,2019,30.83941321811545,55.53811679856759,74.91796245290283,78930,22.75,47.26,2.703979696091349,11.352146902886828,23.487993525839297,,B+,C,A,A
120030,GS건설,2019,30.209054179075306,68.5448130742865,87.4271907727561,6360,29.97,25.74,3.397405306944928,26.020033501236423,-2072.2326227759163,0.031654315401279096,A,A,B+,A
138190,GS글로벌,2019,27.81770386142154,68.47746001882008,83.67976146949879,1250,3.47,50.75,-1.3824021214035178,1.2539696678282504,-416.72076284790546,9.196425478869637,B,D,B+,B+
140177,GS리테일,2019,29.584736104759017,63.84272191978211,106.68205956186974,7070,20.1,65.77,2.035820411071989,,362.78249490394956,,B,C,B,B+
164636,HDC,2019,29.0682345942566,44.13785511105622,59.82219063858829,12630,17.2,35.92,6.5357442723452595,,444.8225587364453,,B+,C,B+,B+
350312,HDC랩스,2019,26.19225164651408,28.91522680249889,104.54729387703784,39570,3.83,58.01,-2.4857040054269928,34.640634506768315,-719.4552297333204,2.6148248024927927,C,D,C,B
357935,HDC현대EP,2019,27.02822231518488,48.20635141679233,77.40888968930666,89470,8.55,48.4,2.406611502213695,23.964624829042123,-831.141783936853,45.10530495725739,B,B,B+,B
1310269,HDC현대산업개발,2019,29.11479393287285,49.3886403685518,74.94714741469927,294870,33.25,38.46,9.381223293030432,28.21778636000917,5098.055136121589,,C,C,C,B+
164830,HD한국조선해양,2019,30.852109404173653,48.40900889237804,84.14106221040151,9540,16.95,33.96,0.8504407719506175,4.16267272763654,1535.9776294983608,0.04518607591879386,B+,B+,C,A
