corp_code,corp_name,stock_code,year,TQ,ROA,ADV,SGR,LEV,R&D,A_SIZE,MSE,FOR,ESG,E,S,G
365387,AJ네트웍스,95570,2020,95.47133475442354,-0.2088448586135612,32.681753835498974,167.8661910817832,81.86543338338988,,28.093604,49.7,7.95,B,D,B,B
125080,AK홀딩스,6840,2020,78.07564695976899,-6.400992151878684,249.74291205413564,-3031.126731174773,70.05135003860575,72.86702291552048,29.054633,64.9,12.75,B+,B,B+,B+
219097,BGF,27410,2020,35.55888399112158,1.0783323134142093,296.53853194068967,1573.876023818369,7.30339855411459,0.12954938048959794,28.136756,69.72,9.0,A,A,A+,A
1263022,BGF리테일,282330,2020,169.38100732639492,5.175136671991752,5.720507811819826,395.55751977329703,70.61248124831884,5.231935029249242,28.494404,55.36,34.12,A,A,A+,A
858364,BNK금융지주,138930,2020,,0.514,,,,,,11.56,51.7,A+,A,A+,A+
122579,BYC,1460,2020,59.69639576253306,2.6924139153740345,67.2241541057767,-511.50124454886276,33.34637207213479,84.69031261720907,27.244086,61.94,2.18,B,D,B,B+
148540,CJ,1040,2020,68.2472563379116,0.5097013767490017,193.25709693308048,-527.1223150806481,61.53344281885549,15.150156890427786,31.320525,47.05,17.94,A,B+,A+,A
303873,CJ CGV,79160,2020,113.70044764484399,-17.260003076255582,,-6996.087103801692,93.38933246584325,,29.102313,39.04,9.17,A,B,A,A
113410,CJ대한통운,120,2020,97.2572265455942,1.4789573983197932,10.75123949333862,351.43034752283506,58.10709081359574,,29.897305,40.16,19.64,A,A,A+,A
129013,CJ씨푸드,11150,2020,186.74008541574776,1.5558373552694909,,-7.996051577282154,51.33498870413137,9.396397606533439,25.631,46.26,3.61,B,C,B+,B+
635134,CJ제일제당,97950,2020,82.70024682676525,3.0705483699505116,48.21637168888507,847.0043849884054,60.30578715713112,0.06173418034007423,30.874078,41.81,20.06,A,A,A+,A
149026,CS홀딩스,590,2020,29.740856487861876,3.6559977127612475,0.7492333970561429,-247.0469156783034,8.70005997196121,12.524656757913466,26.503162,73.37,2.4,B,D,C,B+
163345,DB,12030,2020,67.49780705710666,1.3272379125414144,443.31504556103505,1423.0377926928054,33.60630769789072,114.9655652399469,26.881286,43.81,2.45,B,D,B+,B+
159102,DB손해보험,5830,2020,,0.957,,,,21.44539812738081,,23.22,45.8,A,A,A+,B+
115694,DB증권,16610,2020,,1.049,,,,,,39.54,8.42,B,D,B+,B
160843,DB하이텍,990,2020,224.70447339041377,14.086903089418854,,1591.537401500819,32.58126682510003,661.8071251202588,27.795332,19.46,39.9,A,A,A,A
108746,DKME,15590,2020,119.81961393264615,0.6780041695390199,,-1507.135239735032,45.69470238837254,,26.010061,48.87,0.65,C,D,C,B
109693,DL,210,2020,97.67711713308373,4.1192845384599694,2.100694375563476,-567.8305795329787,76.90004102103583,,30.263044,23.12,48.6,A,A+,A+,B+
116949,DN오토모티브,7340,2020,58.686822324529054,5.035315386513558,1.3626006151574568,-1138.9035954500546,31.928903041467986,301.21569429815355,27.592026,50.27,6.34,B,B,C,B+
118266,DRB동일,4840,2020,57.97488760977342,0.8072547554569052,5.02154154021813,-920.6050449850004,40.28921631719404,79.87563117113227,27.377978,69.75,1.92,B+,B,B+,B+
110608,DSR,155660,2020,75.11144545189504,3.548683684364683,,-226.14147631150968,35.57597886367236,,26.256408,70.75,1.3,B,B,B,B
151298,DSR제강,69730,2020,63.19505740167899,2.5596987274844425,2.8542069072305334,-797.611652248611,29.08934119787664,47.428765867061905,26.052369,55.73,3.34,C,C,C,B+
117726,DYP,92780,2020,94.33780167531368,-2.0408192139236814,0.17456121702617244,-1184.4443247565457,72.38128715287905,133.52113784633667,26.569869,55.79,2.04,B,B,C,B+
165583,E1,17940,2020,74.88471823842387,1.509616710457588,45.298567322480984,-1477.1608707503979,66.67613633349998,,28.947818,45.33,4.57,B+,B+,A,B+
126487,F&F 홀딩스,7700,2020,191.4661082973345,10.437186106857279,354.54248263489626,-798.8333791734929,32.53802358531505,,27.429919,58.82,13.47,B+,B+,A,B+
